series_index,n,data_mode,bst_insert_total_s_mean,bst_insert_total_s_std,avl_insert_total_s_mean,avl_insert_total_s_std,bst_search_per_op_s_mean,bst_search_per_op_s_std,avl_search_per_op_s_mean,avl_search_per_op_s_std,array_search_per_op_s_mean,array_search_per_op_s_std,bst_delete_per_op_s_mean,bst_delete_per_op_s_std,avl_delete_per_op_s_mean,avl_delete_per_op_s_std
1,1024,random,8.30708e-05,3.03746284915552e-06,0.0001258124,3.3136916332091e-06,2.93e-11,1.91835867344978e-11,2.49e-11,2.03344535210563e-11,2.92e-11,1.9119623427254e-11,9.18168e-08,2.24286241120582e-08,1.294749e-07,1.79962503230534e-08
1,1024,sorted,0.0008969583,0.000149272041114235,7.48499e-05,8.91823292418403e-06,3.32e-11,1.66060230037177e-11,3.34e-11,1.67044904142569e-11,2.09e-11,2.09019137879764e-11,1.3203293e-06,2.70936264807814e-07,1.311876e-07,2.75874277822344e-08
2,2048,random,0.0001700083,6.89314156317713e-06,0.0002441499,2.9231802698431e-06,3.34e-11,1.67044904142569e-11,2.49e-11,2.03344535210563e-11,2.07e-11,2.07028983478159e-11,1.008667e-07,3.55713727736223e-09,1.385209e-07,5.31754545725751e-09
2,2048,sorted,0.0042111709,0.000527061959725126,0.0001383669,4.80974110425915e-06,3.33e-11,1.66556296788803e-11,2.07e-11,2.07028983478159e-11,2.5e-11,2.04156802482798e-11,4.2382501e-06,2.13537272306476e-07,1.497459e-07,3.62902247030795e-09
3,4096,random,0.0003618167,1.00038216902342e-05,0.0005221373,6.75166545453787e-06,3.32e-11,1.66060230037177e-11,2.08e-11,2.08028844153882e-11,3.33e-11,1.66556296788803e-11,1.212291e-07,7.08346437063109e-09,1.569791e-07,1.66397556772929e-09
3,4096,sorted,0.0160771166,0.00101362436440924,0.0002898043,1.14515282914552e-05,2.08e-11,2.08028844153882e-11,2.91e-11,1.90549206243427e-11,3.34e-11,1.67044904142569e-11,9.4697835e-06,3.03025478114052e-07,1.638876e-07,5.42927516709183e-09
4,8192,random,0.0008528081,3.51002695785944e-05,0.0011866751,3.27626889508477e-05,2.51e-11,2.04960971894651e-11,3.34e-11,1.67044904142569e-11,3.33e-11,1.66556296788803e-11,1.474628e-07,1.24675327695579e-08,1.927501e-07,1.42178485323905e-08
4,8192,sorted,0.0814834499,0.0059207814624229,0.0006322416,2.01001844678102e-05,3.33e-11,1.66556296788803e-11,3.33e-11,1.66556296788804e-11,2.1e-11,2.1e-11,2.25880418e-05,1.34366895817227e-06,2.286499e-07,1.14473505969722e-08
5,16384,random,0.0019235292,6.11867339605572e-05,0.0026636082,5.75862430391149e-05,3.73e-11,1.24422666745252e-11,1.67e-11,2.04550727204769e-11,3.32e-11,1.66060230037177e-11,1.660375e-07,1.69705899440768e-08,2.068459e-07,8.1873126293064e-09
5,16384,sorted,0.3227168875,0.0193721829301223,0.0013768626,4.47580637119168e-05,2.93e-11,1.91835867344978e-11,3.33e-11,1.66556296788803e-11,2.9e-11,1.8989470766717e-11,4.31217e-05,1.22608572460974e-06,3.103542e-07,2.18573352666788e-08
