series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
1,1024,random,1,9.1083e-05,4.2e-08,4.2e-11,0.000104625,1.04625e-07,0.000135125,4.2e-08,4.2e-11,0.000177208,1.77208e-07,4.1e-08,4.1e-11
1,1024,random,2,8.4166e-05,4.2e-08,4.2e-11,0.000155584,1.55584e-07,0.000126042,4.1e-08,4.1e-11,0.000144583,1.44583e-07,0,0
1,1024,random,3,8.5458e-05,4.2e-08,4.2e-11,8.7834e-05,8.7834e-08,0.0001255,4.1e-08,4.1e-11,0.000125,1.25e-07,0,0
1,1024,random,4,8.2208e-05,4.2e-08,4.2e-11,8.2292e-05,8.2292e-08,0.000123375,4.1e-08,4.1e-11,0.000123458,1.23458e-07,4.2e-08,4.2e-11
1,1024,random,5,8.1875e-05,4.2e-08,4.2e-11,8.0833e-05,8.0833e-08,0.000124708,4.2e-08,4.2e-11,0.000122917,1.22917e-07,4.1e-08,4.1e-11
1,1024,random,6,8.1709e-05,0,0,8.0125e-05,8.0125e-08,0.000123416,0,0,0.000128083,1.28083e-07,4.2e-08,4.2e-11
1,1024,random,7,8.0292e-05,0,0,7.9333e-05,7.9333e-08,0.000123125,0,0,0.000120916,1.20916e-07,4.2e-08,4.2e-11
1,1024,random,8,8.15e-05,0,0,8.35e-05,8.35e-08,0.000126458,0,0,0.00012075,1.2075e-07,4.2e-08,4.2e-11
1,1024,random,9,8.1125e-05,4.1e-08,4.1e-11,8.5125e-05,8.5125e-08,0.000126084,4.2e-08,4.2e-11,0.000123459,1.23459e-07,4.2e-08,4.2e-11
1,1024,random,10,8.1292e-05,4.2e-08,4.2e-11,7.8917e-05,7.8917e-08,0.000124291,0,0,0.000108375,1.08375e-07,0,0
1,1024,sorted,11,0.000788417,4.1e-08,4.1e-11,0.000999625,9.99625e-07,8.25e-05,4.2e-08,4.2e-11,0.0001075,1.075e-07,4.2e-08,4.2e-11
1,1024,sorted,12,0.000775,0,0,0.001009167,1.009167e-06,8.9917e-05,0,0,0.000104875,1.04875e-07,0,0
1,1024,sorted,13,0.000690083,4.1e-08,4.1e-11,0.001063208,1.063208e-06,7.0584e-05,4.2e-08,4.2e-11,0.000164041,1.64041e-07,0,0
1,1024,sorted,14,0.001203792,4.1e-08,4.1e-11,0.001841667,1.841667e-06,8.8416e-05,0,0,0.000160584,1.60584e-07,4.1e-08,4.1e-11
1,1024,sorted,15,0.001019833,4.2e-08,4.2e-11,0.001711833,1.711833e-06,7.7625e-05,4.1e-08,4.1e-11,0.000138042,1.38042e-07,4.2e-08,4.2e-11
